ticker,company,issuer,spot,predicted,date_posted
3983,中海石油化學 (03983),交銀國際,4.56,6.56,31/3/2011 09:11
606,中國糧油 (00606),中銀國際,,11.45,31/3/2011 18:15
604,深圳控股? (00604),高盛,,2.3,31/3/2011 17:50
670,東方航空 (00670),野村,,5.5,31/3/2011 16:48
119,保利香港 (00119),瑞信,9.9,7.8,31/3/2011 15:41
606,中國糧油控股 (00606),摩通,10.3,10.6,31/3/2011 15:37
3328,交通銀行 (03328),大摩,11.23,11,31/3/2011 14:54
144,招商局國際 (00144),瑞信,38.4,39,31/3/2011 14:43
363,上海實業 (00363),里昂,,48,31/3/2011 14:39
2018,瑞聲聲學 (02018),野村,,23.7,31/3/2011 14:36
144,招商局國際 (00144),里昂,,40.39,31/3/2011 14:33
883,中國海洋石油 (00883),里昂,,15.2,31/3/2011 14:29
902,華能國際電力股份 (00902),瑞銀,,4.6,31/3/2011 10:55
2899,紫金礦業 (02899),國泰君安,,8.83,31/3/2011 10:49
1818,招金礦業 (01818),交銀國際,,18.7,31/3/2010 09:33
1068,雨潤食品 (01068),新鴻基金融,,26,31/3/2010 18:00
3339,中國龍工 (03339),高盛,,6.7,31/3/2010 17:29
1199,中遠太平洋 (01199),麥格理,,11,31/3/2010 17:04
735,中國電力新能源 (00735),元大,,1.3,31/3/2010 17:01
1,長江實業 (00001),星展唯高達,,112,31/3/2010 16:12
12,恆基地產 (00012),星展唯高達,,64.1,31/3/2010 15:56
3389,亨得利 (03389),CIMB,,4,31/3/2010 15:52
12,恒基地產 (00012),里昂,,60,31/3/2010 14:46
1,長江實業 (00001),里昂,,122,31/3/2010 14:42
1128,永利澳門 (01128),德銀,,12.2,31/3/2010 14:38
522,ASM Pacific (00522),里昂,,91,31/3/2010 14:32
1138,中海發展 (01138),大福證券,,15,31/3/2010 10:51
3328,交通銀行 (03328),摩根士丹利,10.95,11.32,31/3/2010 10:44
3328,交通銀行 (03328),瑞銀,9.7,10,31/3/2010 10:08
2319,蒙牛乳業 (02319),摩根士丹利,,29,31/12/2018 09:42
3333,恒大地產 (03333),中金公司,,3.86,31/12/2015 14:41
144,招商局國際 (00144),里昂,,22,31/12/2015 14:40
2328,中國財險 (02328),滙豐,,16.7,31/12/2015 14:39
709,佐丹奴 (00709),德銀,,5.35,31/12/2010 14:35
144,招商局國際 (00144),Jefferies,,39,31/12/2010 14:33
1893,中材股份 (01893),中銀國際,,9.41,31/12/2010 14:29
1065,天津創業環保 (01065),高盛,,2.5,31/12/2010 14:16
270,粵海投資 (00270),高盛,,5,31/12/2010 14:13
2601,中國太保 (02601),金英,,40,31/12/2010 14:11
2318,中國平安 (02318),DBS唯高達,,99,31/12/2010 10:23
2601,中國太平洋保險 (02601),花旗,33.8,39,31/12/2010 10:16
891,利邦控股 (00891),渣打證券,8.5,10,31/12/2010 10:12
1133,哈爾濱動力 (01133),海通國際,,15,31/12/2010 10:06
5,匯豐控股 (00005),摩根士丹利,87,82,31/10/2018 10:17
5,匯豐控股 (00005),高盛,82,84,31/10/2018 10:16
762,聯通 (00762),花旗,,15,31/10/2017 11:11
489,東風集團 (00489),瑞信,,9.2,31/10/2016 14:34
2238,廣汽集團 (02238),瑞信,14.7,14.2,31/10/2016 14:33
3606,福耀玻璃 (03606),瑞信,,24,31/10/2016 14:32
1299,友邦保險 (01299),瑞信,60.6,54,31/10/2016 12:33
1299,友邦保險 (01299),德銀,63.3,59.8,31/10/2016 12:10
1288,農業銀行 (01288),高盛,,4.4,31/10/2014 13:50
1398,工商銀行 (01398),高盛,,5.9,31/10/2014 13:49
3988,中國銀行 (03988),高盛,,3.8,31/10/2014 13:48
1288,農業銀行 (01288),德銀,,4.49,31/10/2014 13:47
3988,中國銀行 (03988),德銀,,4.28,31/10/2014 13:46
386,中石化 (00386),瑞信,,9,31/10/2014 12:57
2282,美高梅中國 (02282),瑞信,30,30.8,31/10/2014 12:49
1398,工商銀行 (01398),巴克萊,,6.6,31/10/2013 18:25
709,佐丹奴 (00709),美銀美林,,9,31/10/2013 16:21
1288,農業銀行 (01288),高盛,,4.6,31/10/2013 13:33
1398,工行 (01398),高盛,,6.2,31/10/2012 09:58
1072,東方電氣 (01072),高盛,,9.2,31/10/2012 08:57
2888,渣打銀行 (02888),里昂,,212,31/10/2012 15:52
2238,廣汽集團 (02238),美銀美林,6,5.4,31/10/2012 13:40
857,中石油 (00857),高盛,,11,31/10/2012 13:39
107,四川成渝高速公路 (00107),高盛,3.2,3,31/10/2012 13:36
914,安徽海螺水泥股份 (00914),高盛,,30,31/10/2012 13:34
3328,交通銀行 (03328),摩通,,5.9,31/10/2012 13:28
999,I.T. (00999),里昂,,3.5,31/10/2012 12:12
939,建設銀行 (00939),中銀國際,,6.13,31/10/2011 18:03
3968,招商銀行 (03968),工銀國際,,19.8,31/10/2011 17:56
2018,瑞聲科技 (02018),渣打,19.2,25,31/10/2011 15:30
939,建設銀行 (00939),巴克萊,,8.2,31/10/2011 15:28
1088,中國神華 (01088),瑞信,45,50.3,31/10/2011 15:26
177,江蘇寧滬高速公路 (00177),高盛,,6.4,31/10/2011 15:23
522,ASM Pacific (00522),里昂,,105.74,31/10/2011 15:15
992,聯想集團 (0992 ),CIMB Research,,7.22,31/10/2011 15:09
1052,越秀交通基建 (01052),星展唯高達,,5.72,31/10/2011 15:07
1893,中材股份 (01893),中銀國際,,6.6,31/10/2011 15:04
728,中國電信 (00728),瑞銀,,5.8,31/10/2011 14:50
939,建設銀行 (00939),瑞信,,5.7,31/10/2011 14:48
3968,招商銀行 (03968),瑞信,,12.58,31/10/2011 14:46
1157,中聯重科 (01157),麥格理,,13,31/10/2011 14:14
916,龍源電力 (00916),花旗,,7.9,31/10/2011 11:56
1968,匹克體育 (01968),高盛,6.9,2.7,31/10/2011 11:52
857,中國石油股份 (00857),大和,,9,31/10/2011 11:51
1928,金沙中國 (01928),高盛,25.7,27.6,31/10/2011 11:06
101,恆隆地產 (00101),摩根士丹利,,20,31/1/2020 11:33
323,馬鞍山鋼鐵 (00323),三星,,2.15,31/1/2012 17:38
2600,中國鋁業 (02600),三星,,3,31/1/2012 15:58
1088,中國神華 (01088),三星,,44,31/1/2012 15:41
3833,新疆新鑫礦業 (03833),交銀國際,,3,31/1/2012 11:30
347,鞍鋼股份 (00347),三星,,4.5,31/1/2012 11:28
2600,中鋁 (02600),花旗,,2.9,31/1/2012 11:28
1972,太古地產 (01972),匯豐環球,,22.5,31/1/2012 11:27
347,鞍鋼股份 (00347),野村,,3.5,31/1/2012 11:26
323,馬鋼 (00323),摩根大通,,3.4,31/1/2012 11:25
853,微創醫療 (00853),野村,,5.25,31/1/2012 11:15
27,銀河娛樂 (00027),瑞銀,10,13.2,31/1/2011 09:34
386,中石化 (00386),中銀國際,,10.29,31/1/2011 18:06
489,東風集團股份 (00489),野村,,19.5,31/1/2011 14:55
856,偉仕控股 (00856),星展唯高達,,3.5,31/1/2011 14:51
762,中國聯通 (00762),星展唯高達,,14,31/1/2011 14:49
880,澳博控股 (00880),花旗,,16.5,31/1/2011 14:43
763,中興通訊 (00763),麥格理,,30,31/1/2011 10:51
880,澳門博彩控股 (00880),瑞信,13.9,14.2,31/1/2011 10:44
762,聯通 (00762),摩根士丹利,,15,31/1/2011 10:11
323,馬鞍山鋼鐵 (00323),摩根大通,2.1,1.7,30/9/2015 09:58
751,創維數碼 (00751),花旗,,3.9,30/9/2015 09:57
1211,比亞迪股份 (01211),瑞信,,75,30/9/2015 09:56
1661,智美集團 (01661),瑞信,,5.2,30/9/2015 09:55
1450,世紀睿科 (01450),瑞信,,2.7,30/9/2015 09:54
322,康師傅控股 (00322),滙豐,14.3,13.2,30/9/2015 09:53
548,深圳高速公路股份 (00548),滙豐,,6,30/9/2015 09:53
1052,越秀交通基建 (01052),滙豐,,8.2,30/9/2015 09:52
995,安徽皖通高速公路 (00995),滙豐,,7,30/9/2015 09:51
6818,光大銀行 (06818),美銀美林,,4.78,30/9/2015 13:41
2238,廣汽集團 (02238),摩根士丹利,8,7,30/9/2014 11:30
700,騰訊控股 (00700),巴克萊,,142,30/9/2014 11:21
2369,中國無線 (02369),麥格理,4,3.7,30/9/2013 17:21
175,吉利汽車 (00175),高盛,4.16,5.2,30/9/2013 17:19
3337,安東油田 (03337),招商證券,,5.7,30/9/2013 14:48
3377,遠洋地產 (03377),摩根士丹利,,4.1,30/9/2013 13:30
1068,雨潤食品 (01068),交銀國際,32.8,8.3,30/9/2011 09:13
358,江西銅業 (00358),麥格理,,30,30/9/2011 09:10
606,中國糧油控股 (00606),摩根士丹利,,10.2,30/9/2011 09:06
101,恒隆地產 (00101),里昂,,30.4,30/9/2011 16:33
17,新世界發展 (00017),里昂,,8.9,30/9/2011 16:10
493,國美電器 (00493),瑞信,4.3,2.5,30/9/2011 15:07
3898,南車時代電氣 (03898),花旗,,18,30/9/2011 15:06
2083,中國地板 (02083),渣打證券,,3,30/9/2011 15:05
992,聯想集團 (00992),巴克萊,,6.5,30/9/2011 14:25
1068,雨潤食品 (01068),大福證券,,33,30/9/2010 09:57
321,德永佳 (00321),德銀,,9.45,30/9/2010 18:01
881,中升控股 (00881),中銀國際,15.62,20.6,30/9/2010 16:35
3331,維達國際 (03331),美銀美林,9.55,10.7,30/9/2010 16:06
2314,理文造紙 (02314),星展唯高達,,8,30/9/2010 15:36
941,中國移動 (00941),野村,,91,30/9/2010 15:28
903,冠捷科技 (00903),星展唯高達,,5.1,30/9/2010 15:10
881,中升控股 (00881),中銀國際,,20.6,30/9/2010 15:05
933,光?石油 (00933),建銀國際,,3.8,30/9/2010 15:00
941,中國移動 (00941),Mirae Asset Sec Eng Lang,,115,30/9/2010 14:58
322,康師傅控股 (00322),高盛,20.5,20.8,30/9/2010 14:51
762,中國聯通 (00762),瑞銀,,12.6,30/9/2010 10:22
267,中信泰富 (00267),美銀美林,18.2,19,30/9/2010 10:09
322,康師傅 (00322),美銀美林,20.5,21.5,30/9/2010 10:02
2020,安踏體育 (02020),麥格理,69,82,30/8/2019 11:01
1478,丘鈦科技 (01478),野村,6.6,5.2,30/8/2018 11:06
1114,華晨中國 (1114 ),高盛,13.2,13.9,30/8/2017 11:40
1114,華晨中國 (1114 ),大和,16,23,30/8/2017 11:11
1398,工行 (01398),高盛,,6.5,30/8/2013 16:33
17,新世界發展 (00017),高盛,17.65,17.35,30/8/2013 16:32
656,復星國際 (00656),花旗,6.2,6.3,30/8/2013 13:05
2319,蒙牛乳業 (02319),德意志銀行,23,30,30/8/2013 12:32
2319,蒙牛乳業 (02319),里昂,,39.5,30/8/2013 12:30
210,達芙妮 (00210),摩根大通,4.7,4.5,30/8/2013 12:24
1919,中國遠洋 (01919),里昂,,2.7,30/8/2013 11:50
2388,中銀香港 (02388),里昂,,32.29,30/8/2013 11:47
3988,中國銀行 (03988),里昂,,4.67,30/8/2013 11:33
242,信德 (00242),里昂,,4,30/8/2012 17:45
1918,融創中國 (01918),中銀國際,4.55,4.96,30/8/2012 16:35
1919,中國遠洋 (01919),摩根士丹利,,3.49,30/8/2012 14:52
1919,中國遠洋 (01919),美銀美林,3.15,3,30/8/2012 14:45
83,信和置業 (00083),里昂,,14.1,30/8/2012 14:19
242,信德集團 (00242),瑞銀,2.9,3,30/8/2012 13:49
83,信和置業 (00083),花旗,,15.6,30/8/2012 12:45
2319,蒙牛 (02319),德銀,23,22.6,30/8/2012 12:43
6808,高鑫零售 (06808),巴克萊,,11.64,30/8/2012 11:55
386,中石化 (00386),德銀,7.65,8.21,30/8/2012 11:54
151,旺旺中國 (00151),巴克萊,,8.12,30/8/2012 11:37
1288,農行 (01288),花旗,4.4,3.5,30/8/2012 10:01
67,旭光高新材料 (00067),中銀國際,,4.11,30/8/2011 14:40
1728,正通汽車 (01728),星展唯高達,,10.4,30/8/2011 14:38
449,志高控股 (00449),星展唯高達,,0.43,30/8/2011 14:35
506,中國食品 (00506),中銀國際,,8.15,30/8/2011 14:32
998,中信銀行 (00998),工銀國際,,4.4,30/8/2011 12:51
670,東方航空 (00670),星展唯高達,,3.84,30/8/2011 12:41
1728,正通汽車 (01728),星展唯高達,,10.4,30/8/2011 12:24
144,招商局國際 (00144),瑞銀,42,38,30/8/2011 12:13
845,恆盛地產 (00845),摩根大通,3.35,2.7,30/8/2011 11:57
506,中國食品 (00506),瑞銀,,7.96,30/8/2011 11:32
991,大唐發電 (00991),瑞信,3.07,2.95,30/8/2011 11:29
1880,百麗國際 (01880),蘇格蘭皇家銀行,17,18.7,30/8/2011 11:18
